txn_id,txn_date,account_code,account_name,vendor_name,approved_by,amount,txn_type,true_anomaly_flag
103670,2025-03-07,6300,Professional & Legal Fees,Evergreen IT Solutions Pvt Ltd,EMP0154,4886.37,invoice,none
114789,2025-02-25,6400,IT & Software Licenses,Quantum Data Services Pvt Ltd,EMP0140,17202.05,invoice,duplicate_invoice
112497,2024-06-11,7100,Equipment Purchases (Capex),Pinecrest Travel & Tours,EMP0105,11947.52,invoice,none
103782,2024-04-05,6800,Consulting Services,Quantum Data Services Pvt Ltd,EMP0136,28588.25,invoice,none
115210,2024-07-09,7200,Rent & Facilities,Orion Equipment Rentals,EMP0130,89816.5,invoice,benford_break
114408,2024-10-03,6800,Consulting Services,Quantum Data Services Pvt Ltd,EMP0109,493884.24,invoice,just_under_threshold
108882,2024-05-01,6300,Professional & Legal Fees,Falcon Stationery Mart,EMP0148,14174.34,invoice,none
111525,2024-06-28,6800,Consulting Services,Titan Hardware Suppliers,EMP0132,37798.18,invoice,none
101607,2024-09-20,7100,Equipment Purchases (Capex),Meridian Consulting Partners,EMP0154,25815.17,invoice,none
110448,2025-03-04,6300,Professional & Legal Fees,Silverline Facility Services,EMP0108,3461.18,invoice,none
111718,2024-12-26,6300,Professional & Legal Fees,Om Facilities Management,EMP0158,54021.01,invoice,none
109521,2024-06-26,6200,Office Supplies & Stationery,Bharat Freight Carriers,EMP0117,7140.06,invoice,none
100567,2025-03-26,6500,Marketing & Advertising,Silverline Facility Services,EMP0131,15412.33,invoice,none
106245,2025-01-06,6700,Repairs & Maintenance,Evergreen IT Solutions Pvt Ltd,EMP0146,15020.82,invoice,none
103215,2025-01-28,6800,Consulting Services,Ironclad Security Systems,EMP0112,3969.72,invoice,none
113313,2024-12-17,7100,Equipment Purchases (Capex),Crescent Office Supplies,EMP0118,13463.81,invoice,none
106067,2025-02-20,6600,Electricity & Utilities,Evergreen IT Solutions Pvt Ltd,EMP0149,9181.71,invoice,none
108984,2024-04-04,7100,Equipment Purchases (Capex),Sundaram Professional Services,EMP0146,13787.48,invoice,none
104337,2024-04-02,7100,Equipment Purchases (Capex),Orion Equipment Rentals,EMP0107,12860.73,invoice,none
109186,2024-10-08,6200,Office Supplies & Stationery,Vertex Engineering Co Pvt Ltd,EMP0137,9292.39,invoice,none
115249,2024-10-14,6800,Consulting Services,Yellowstone Cleaning Services,EMP0144,78421.1,invoice,benford_break
111647,2025-01-06,6400,IT & Software Licenses,Ironclad Security Systems,EMP0143,27301.49,invoice,none
112320,2024-04-02,6500,Marketing & Advertising,Zenith Professional Consultants,EMP0103,2909.12,invoice,none
109550,2024-10-30,6400,IT & Software Licenses,Keystone Repairs & Services,EMP0121,9111.78,invoice,none
109921,2024-04-02,6500,Marketing & Advertising,Vertex Engineering Co Pvt Ltd,EMP0148,24485.34,invoice,none
108212,2024-07-19,6500,Marketing & Advertising,Falcon Stationery Mart,EMP0140,9681.84,invoice,none
100477,2024-08-28,7100,Equipment Purchases (Capex),Northstar Power & Utilities,EMP0132,182055.56,invoice,none
108731,2024-07-02,6100,Travel & Conveyance,Northstar Power & Utilities,EMP0109,3035.8,invoice,none
105937,2024-11-21,6500,Marketing & Advertising,Keystone Repairs & Services,EMP0118,5116.79,invoice,none
110441,2024-04-05,7100,Equipment Purchases (Capex),Crescent Office Supplies,EMP0158,6110.78,invoice,none
104099,2024-08-09,7100,Equipment Purchases (Capex),Union Print & Design Studio,EMP0146,4137.26,invoice,none
104076,2024-05-07,7200,Rent & Facilities,Union Print & Design Studio,EMP0157,29082.81,invoice,none
109684,2024-10-15,6700,Repairs & Maintenance,Union Print & Design Studio,EMP0119,34553.03,invoice,none
106844,2024-10-04,6600,Electricity & Utilities,Radiance Advertising Group,EMP0104,4725.73,invoice,none
100151,2024-06-28,6500,Marketing & Advertising,Lumen Software Systems India,EMP0156,21972.95,invoice,none
109759,2024-09-02,6700,Repairs & Maintenance,Silverline Facility Services,EMP0158,4971.32,invoice,none
100352,2024-04-12,6200,Office Supplies & Stationery,Titan Hardware Suppliers,EMP0152,85130.86,invoice,none
114335,2024-10-15,6400,IT & Software Licenses,Radiance Advertising Group,EMP0104,485191.78,invoice,just_under_threshold
104154,2024-06-03,6800,Consulting Services,Shree Balaji Logistics Pvt Ltd,EMP0134,20090.31,invoice,none
104591,2024-05-14,6800,Consulting Services,Titan Hardware Suppliers,EMP0134,1835.24,invoice,none
103992,2024-05-15,7100,Equipment Purchases (Capex),Yellowstone Cleaning Services,EMP0139,30926.77,invoice,none
106464,2024-06-19,6400,IT & Software Licenses,Union Print & Design Studio,EMP0129,1297.8,invoice,none
114548,2024-08-03,6400,IT & Software Licenses,Ironclad Security Systems,EMP0123,13909.91,invoice,weekend_posting
112649,2024-08-19,6200,Office Supplies & Stationery,Evergreen IT Solutions Pvt Ltd,EMP0118,17977.28,invoice,none
111756,2024-04-03,6700,Repairs & Maintenance,Keystone Repairs & Services,EMP0152,13268.72,invoice,none
112679,2024-10-21,6500,Marketing & Advertising,Om Facilities Management,EMP0126,2840.45,invoice,none
107613,2025-03-25,6600,Electricity & Utilities,Westfield Catering Services,EMP0141,76326.41,invoice,none
105095,2024-09-10,6300,Professional & Legal Fees,Lumen Software Systems India,EMP0142,4413.92,invoice,none
104193,2025-01-02,7200,Rent & Facilities,Ironclad Security Systems,EMP0124,34544.82,invoice,none
110710,2024-05-15,7200,Rent & Facilities,Nexgen Consulting LLP,EMP0108,223189.8,invoice,none
108898,2025-03-06,6500,Marketing & Advertising,Falcon Stationery Mart,EMP0158,4059.9,invoice,none
103823,2024-10-11,6600,Electricity & Utilities,Titan Hardware Suppliers,EMP0106,1163.11,invoice,none
108122,2025-02-26,7100,Equipment Purchases (Capex),Crescent Office Supplies,EMP0130,5820.85,invoice,none
103964,2025-03-10,6400,IT & Software Licenses,Pinecrest Travel & Tours,EMP0113,11400.83,invoice,none
103648,2025-03-05,6400,IT & Software Licenses,Evergreen IT Solutions Pvt Ltd,EMP0107,27561.45,invoice,none
101036,2024-09-02,6500,Marketing & Advertising,Crescent Office Supplies,EMP0119,14583.41,invoice,none
106577,2025-02-18,6600,Electricity & Utilities,Keystone Repairs & Services,EMP0128,16536.38,invoice,none
102520,2024-07-10,6600,Electricity & Utilities,Meridian Consulting Partners,EMP0148,44938.96,invoice,none
105956,2025-01-30,6500,Marketing & Advertising,Silverline Facility Services,EMP0153,25457.75,invoice,none
106210,2025-02-25,6100,Travel & Conveyance,Titan Hardware Suppliers,EMP0151,9977.97,invoice,none
107793,2024-12-06,6500,Marketing & Advertising,Vertex Engineering Co Pvt Ltd,EMP0120,9609.15,invoice,none
114346,2025-02-17,7100,Equipment Purchases (Capex),Nexgen Consulting LLP,EMP0112,491577.75,invoice,just_under_threshold
108026,2025-02-03,6700,Repairs & Maintenance,Lumen Software Systems India,EMP0111,5611.97,invoice,none
112581,2024-09-12,6700,Repairs & Maintenance,Silverline Facility Services,EMP0111,1960.2,invoice,none
108531,2025-01-31,7100,Equipment Purchases (Capex),Quantum Data Services Pvt Ltd,EMP0145,2944.43,invoice,none
110651,2024-11-12,6400,IT & Software Licenses,Titan Hardware Suppliers,EMP0131,14062.41,invoice,none
103308,2024-04-29,6400,IT & Software Licenses,Northstar Power & Utilities,EMP0143,6702.06,invoice,none
